time,share_id,close_b19,close_b18,close_b17,close_b16,close_b15,close_b14,close_b13,close_b12,close_b11,close_b10,close_b9,close_b8,close_b7,close_b6,close_b5,close_b4,close_b3,close_b2,close_b1,close_b0,target_close_price,target_trend
20080229,600332.SH,1.0,0.9461,1.0258,0.9934,0.9614,0.9799,1.0891,0.989,0.9796,1.0375,1.0103,1.0179,1.0182,0.9907,1.0006,0.9583,0.9604,1.0176,1.012,1.0046,1.0163,1
20080228,600332.SH,1.0,1.0071,0.9461,1.0258,0.9934,0.9614,0.9799,1.0891,0.989,0.9796,1.0375,1.0103,1.0179,1.0182,0.9907,1.0006,0.9583,0.9604,1.0176,1.012,1.0046,1
20080227,600332.SH,1.0,1.0341,1.0071,0.9461,1.0258,0.9934,0.9614,0.9799,1.0891,0.989,0.9796,1.0375,1.0103,1.0179,1.0182,0.9907,1.0006,0.9583,0.9604,1.0176,1.012,1
20080226,600332.SH,1.0,1.0717,1.0341,1.0071,0.9461,1.0258,0.9934,0.9614,0.9799,1.0891,0.989,0.9796,1.0375,1.0103,1.0179,1.0182,0.9907,1.0006,0.9583,0.9604,1.0176,1
20080225,600332.SH,1.0,0.9047,1.0717,1.0341,1.0071,0.9461,1.0258,0.9934,0.9614,0.9799,1.0891,0.989,0.9796,1.0375,1.0103,1.0179,1.0182,0.9907,1.0006,0.9583,0.9604,0
20080222,600332.SH,1.0,0.946,0.9047,1.0717,1.0341,1.0071,0.9461,1.0258,0.9934,0.9614,0.9799,1.0891,0.989,0.9796,1.0375,1.0103,1.0179,1.0182,0.9907,1.0006,0.9583,0
20080221,600332.SH,1.0,0.9778,0.946,0.9047,1.0717,1.0341,1.0071,0.9461,1.0258,0.9934,0.9614,0.9799,1.0891,0.989,0.9796,1.0375,1.0103,1.0179,1.0182,0.9907,1.0006,1
20080220,600332.SH,1.0,0.9504,0.9778,0.946,0.9047,1.0717,1.0341,1.0071,0.9461,1.0258,0.9934,0.9614,0.9799,1.0891,0.989,0.9796,1.0375,1.0103,1.0179,1.0182,0.9907,0
20080219,600332.SH,1.0,1.0069,0.9504,0.9778,0.946,0.9047,1.0717,1.0341,1.0071,0.9461,1.0258,0.9934,0.9614,0.9799,1.0891,0.989,0.9796,1.0375,1.0103,1.0179,1.0182,1
20080218,600332.SH,1.0,1.0075,1.0069,0.9504,0.9778,0.946,0.9047,1.0717,1.0341,1.0071,0.9461,1.0258,0.9934,0.9614,0.9799,1.0891,0.989,0.9796,1.0375,1.0103,1.0179,1
20080215,600332.SH,1.0,1.0006,1.0075,1.0069,0.9504,0.9778,0.946,0.9047,1.0717,1.0341,1.0071,0.9461,1.0258,0.9934,0.9614,0.9799,1.0891,0.989,0.9796,1.0375,1.0103,1
20080214,600332.SH,1.0,1.0225,1.0006,1.0075,1.0069,0.9504,0.9778,0.946,0.9047,1.0717,1.0341,1.0071,0.9461,1.0258,0.9934,0.9614,0.9799,1.0891,0.989,0.9796,1.0375,1
20080213,600332.SH,1.0,0.9735,1.0225,1.0006,1.0075,1.0069,0.9504,0.9778,0.946,0.9047,1.0717,1.0341,1.0071,0.9461,1.0258,0.9934,0.9614,0.9799,1.0891,0.989,0.9796,0
20080205,600332.SH,1.0,1.0303,0.9735,1.0225,1.0006,1.0075,1.0069,0.9504,0.9778,0.946,0.9047,1.0717,1.0341,1.0071,0.9461,1.0258,0.9934,0.9614,0.9799,1.0891,0.989,0
20080204,600332.SH,1.0,0.9472,1.0303,0.9735,1.0225,1.0006,1.0075,1.0069,0.9504,0.9778,0.946,0.9047,1.0717,1.0341,1.0071,0.9461,1.0258,0.9934,0.9614,0.9799,1.0891,1
20080201,600332.SH,1.0,0.9966,0.9472,1.0303,0.9735,1.0225,1.0006,1.0075,1.0069,0.9504,0.9778,0.946,0.9047,1.0717,1.0341,1.0071,0.9461,1.0258,0.9934,0.9614,0.9799,0
20080131,600332.SH,1.0,0.9911,0.9966,0.9472,1.0303,0.9735,1.0225,1.0006,1.0075,1.0069,0.9504,0.9778,0.946,0.9047,1.0717,1.0341,1.0071,0.9461,1.0258,0.9934,0.9614,0
20080130,600332.SH,1.0,1.0056,0.9911,0.9966,0.9472,1.0303,0.9735,1.0225,1.0006,1.0075,1.0069,0.9504,0.9778,0.946,0.9047,1.0717,1.0341,1.0071,0.9461,1.0258,0.9934,0
20080229,600485.SH,1.0,0.9078,1.0281,1.0031,0.925,0.9297,1.0684,0.9703,1.0862,1.0896,0.9888,1.0701,1.0072,0.9543,1.0525,0.9512,0.9008,1.0429,1.0129,0.9848,1.0215,1
20080228,600485.SH,1.0,0.9546,0.9078,1.0281,1.0031,0.925,0.9297,1.0684,0.9703,1.0862,1.0896,0.9888,1.0701,1.0072,0.9543,1.0525,0.9512,0.9008,1.0429,1.0129,0.9848,0
20080227,600485.SH,1.0,1.0095,0.9546,0.9078,1.0281,1.0031,0.925,0.9297,1.0684,0.9703,1.0862,1.0896,0.9888,1.0701,1.0072,0.9543,1.0525,0.9512,0.9008,1.0429,1.0129,1
20080226,600485.SH,1.0,1.0803,1.0095,0.9546,0.9078,1.0281,1.0031,0.925,0.9297,1.0684,0.9703,1.0862,1.0896,0.9888,1.0701,1.0072,0.9543,1.0525,0.9512,0.9008,1.0429,1
20080225,600485.SH,1.0,0.9,1.0803,1.0095,0.9546,0.9078,1.0281,1.0031,0.925,0.9297,1.0684,0.9703,1.0862,1.0896,0.9888,1.0701,1.0072,0.9543,1.0525,0.9512,0.9008,0
20080222,600485.SH,1.0,1.0166,0.9,1.0803,1.0095,0.9546,0.9078,1.0281,1.0031,0.925,0.9297,1.0684,0.9703,1.0862,1.0896,0.9888,1.0701,1.0072,0.9543,1.0525,0.9512,0
20080221,600485.SH,1.0,0.9816,1.0166,0.9,1.0803,1.0095,0.9546,0.9078,1.0281,1.0031,0.925,0.9297,1.0684,0.9703,1.0862,1.0896,0.9888,1.0701,1.0072,0.9543,1.0525,1
20080220,600485.SH,1.0,1.0708,0.9816,1.0166,0.9,1.0803,1.0095,0.9546,0.9078,1.0281,1.0031,0.925,0.9297,1.0684,0.9703,1.0862,1.0896,0.9888,1.0701,1.0072,0.9543,0
20080219,600485.SH,1.0,1.0029,1.0708,0.9816,1.0166,0.9,1.0803,1.0095,0.9546,0.9078,1.0281,1.0031,0.925,0.9297,1.0684,0.9703,1.0862,1.0896,0.9888,1.0701,1.0072,1
20080218,600485.SH,1.0,1.0294,1.0029,1.0708,0.9816,1.0166,0.9,1.0803,1.0095,0.9546,0.9078,1.0281,1.0031,0.925,0.9297,1.0684,0.9703,1.0862,1.0896,0.9888,1.0701,1
20080215,600485.SH,1.0,1.0079,1.0294,1.0029,1.0708,0.9816,1.0166,0.9,1.0803,1.0095,0.9546,0.9078,1.0281,1.0031,0.925,0.9297,1.0684,0.9703,1.0862,1.0896,0.9888,0
20080214,600485.SH,1.0,1.021,1.0079,1.0294,1.0029,1.0708,0.9816,1.0166,0.9,1.0803,1.0095,0.9546,0.9078,1.0281,1.0031,0.925,0.9297,1.0684,0.9703,1.0862,1.0896,1
20080213,600485.SH,1.0,1.0567,1.021,1.0079,1.0294,1.0029,1.0708,0.9816,1.0166,0.9,1.0803,1.0095,0.9546,0.9078,1.0281,1.0031,0.925,0.9297,1.0684,0.9703,1.0862,1
20080205,600485.SH,1.0,1.0166,1.0567,1.021,1.0079,1.0294,1.0029,1.0708,0.9816,1.0166,0.9,1.0803,1.0095,0.9546,0.9078,1.0281,1.0031,0.925,0.9297,1.0684,0.9703,0
20080204,600485.SH,1.0,0.9332,1.0166,1.0567,1.021,1.0079,1.0294,1.0029,1.0708,0.9816,1.0166,0.9,1.0803,1.0095,0.9546,0.9078,1.0281,1.0031,0.925,0.9297,1.0684,1
20080201,600485.SH,1.0,1.0132,0.9332,1.0166,1.0567,1.021,1.0079,1.0294,1.0029,1.0708,0.9816,1.0166,0.9,1.0803,1.0095,0.9546,0.9078,1.0281,1.0031,0.925,0.9297,0
